Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.54,0.21,15.79
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.94,0.29,7.95
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2.4,0.08,3.45
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.05,-0.01,-16.67
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,11.97,0.08,0.67
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,1.87,-0.33,-15
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.49,0.22,17.32
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,0,
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,1.07,0.31,40.79
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.33,-0.23,-14.74
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,17.78,0.04,0.23
Australia,AUS,01/09/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,17.72,0.14,0.8
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,3.62,0.3,9.04
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,14.1,-0.16,-1.12
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,1.63,-0.63,-27.88
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.11,-0.27,-19.57
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.62,0.3,9.04
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2.51,0.57,29.38
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.04,-0.01,-20
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,12.47,0.47,3.92
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,1.63,-0.63,-27.88
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.07,-0.26,-19.55
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,0,
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,1.17,0.38,48.1
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.34,0.19,16.52
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,17.72,0.14,0.8
Australia,AUS,01/10/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,17.59,-0.19,-1.07
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,3.89,1.12,40.43
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,13.7,-1.31,-8.73
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,1.7,-0.98,-36.57
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.2,0.3,33.33
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.89,1.12,40.43
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2.69,0.82,43.85
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.04,-0.03,-42.86
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,12,-0.33,-2.68
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,1.7,-0.98,-36.57
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.16,0.33,39.76
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,0,
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,1.38,0.5,56.82
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.31,0.32,32.32
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,17.59,-0.19,-1.07
Australia,AUS,01/11/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
