entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita
"Viet Nam","VNM",false,"2021-01","Coal",false,9.23,50.19,93.29,-1.82,-16.47,-10.52,-18.4,9.23,50.19,93.29
"Viet Nam","VNM",false,"2021-01","Gas",false,3.39,18.43,34.26,-0.18,-5.04,-1.19,-1.82,3.39,18.43,34.26
"Viet Nam","VNM",false,"2021-01","Hydro",false,3.44,18.71,34.77,1.36,65.38,7.28,13.75,3.44,18.71,34.77
"Viet Nam","VNM",false,"2021-01","Other fossil",false,0,0,0,-0.55,-100,-3.02,-5.56,0,0,0
"Viet Nam","VNM",false,"2021-01","Solar",false,2.13,11.58,21.53,1.39,187.84,7.51,14.05,2.13,11.58,21.53
"Viet Nam","VNM",false,"2021-01","Total generation",true,18.39,100,185.88,0.19,1.04,0,1.92,18.39,100,185.88
"Viet Nam","VNM",false,"2021-01","Wind",false,0.2,1.09,2.02,-0.01,-4.76,-0.06,-0.1,0.2,1.09,2.02
"Viet Nam","VNM",false,"2021-02","Coal",false,8.5,46.27,85.91,-1.73,-16.91,-10.19,-17.49,17.73,48.23,179.21
"Viet Nam","VNM",false,"2021-02","Gas",false,2.22,12.08,22.44,-0.79,-26.25,-4.53,-7.99,5.61,15.26,56.7
"Viet Nam","VNM",false,"2021-02","Hydro",false,5.89,32.06,59.53,1.99,51.03,10.54,20.11,9.33,25.38,94.3
"Viet Nam","VNM",false,"2021-02","Other fossil",false,0,0,0,-0.08,-100,-0.44,-0.81,0,0,0
"Viet Nam","VNM",false,"2021-02","Solar",false,1.52,8.27,15.36,0.73,92.41,3.91,7.38,3.65,9.93,36.89
"Viet Nam","VNM",false,"2021-02","Total generation",true,18.37,100,185.68,0.25,1.38,0,2.53,36.76,100,371.56
"Viet Nam","VNM",false,"2021-02","Wind",false,0.24,1.31,2.43,0.13,118.18,0.7,1.31,0.44,1.2,4.45
"Viet Nam","VNM",false,"2021-03","Coal",false,12.02,54.41,121.49,-0.62,-4.91,-9.56,-6.27,29.75,50.55,300.7
"Viet Nam","VNM",false,"2021-03","Gas",false,1.84,8.33,18.6,-1.03,-35.89,-6.19,-10.41,7.45,12.66,75.3
"Viet Nam","VNM",false,"2021-03","Hydro",false,4.53,20.51,45.79,1.58,53.56,5.58,15.97,13.86,23.55,140.09
"Viet Nam","VNM",false,"2021-03","Other fossil",false,0,0,0,-0.39,-100,-1.97,-3.94,0,0,0
"Viet Nam","VNM",false,"2021-03","Solar",false,3.48,15.75,35.17,2.7,346.15,11.8,27.29,7.13,12.12,72.07
"Viet Nam","VNM",false,"2021-03","Total generation",true,22.09,100,223.28,2.33,11.79,0,23.55,58.85,100,594.83
"Viet Nam","VNM",false,"2021-03","Wind",false,0.22,1,2.22,0.09,69.23,0.34,0.91,0.66,1.12,6.67
"Viet Nam","VNM",false,"2021-04","Coal",false,11.73,55.65,118.56,0.31,2.71,-7.17,3.13,41.48,51.9,419.26
"Viet Nam","VNM",false,"2021-04","Gas",false,3.11,14.75,31.43,-0.05,-1.58,-2.63,-0.51,10.56,13.21,106.74
"Viet Nam","VNM",false,"2021-04","Hydro",false,4.53,21.49,45.79,1.86,69.66,6.8,18.8,18.39,23.01,185.88
"Viet Nam","VNM",false,"2021-04","Other fossil",false,0,0,0,0,,0,0,0,0,0
"Viet Nam","VNM",false,"2021-04","Solar",false,1.6,7.59,16.17,0.78,95.12,3.08,7.88,8.73,10.92,88.24
"Viet Nam","VNM",false,"2021-04","Total generation",true,21.08,100,213.07,2.9,15.95,0,29.31,79.93,100,807.9
"Viet Nam","VNM",false,"2021-04","Wind",false,0.11,0.52,1.11,0,0,-0.09,0,0.77,0.96,7.78
"Viet Nam","VNM",false,"2021-05","Coal",false,12.65,55.43,127.86,-0.11,-0.86,-4.99,-1.11,54.13,52.68,547.13
"Viet Nam","VNM",false,"2021-05","Gas",false,1.7,7.45,17.18,-1.63,-48.95,-8.32,-16.48,12.26,11.93,123.92
"Viet Nam","VNM",false,"2021-05","Hydro",false,5.62,24.63,56.8,1.5,36.41,5.12,15.16,24.01,23.37,242.68
"Viet Nam","VNM",false,"2021-05","Other fossil",false,0,0,0,-0.01,-100,-0.05,-0.1,0,0,0
"Viet Nam","VNM",false,"2021-05","Solar",false,2.75,12.05,27.8,1.92,231.33,8.12,19.41,11.48,11.17,116.04
"Viet Nam","VNM",false,"2021-05","Total generation",true,22.82,100,230.66,1.7,8.05,0,17.18,102.75,100,1038.56
"Viet Nam","VNM",false,"2021-05","Wind",false,0.1,0.44,1.01,0.03,42.86,0.11,0.3,0.87,0.85,8.79
"Viet Nam","VNM",false,"2021-06","Coal",false,12.54,50.69,126.75,0.86,7.36,-3.33,8.69,66.67,52.29,673.88
"Viet Nam","VNM",false,"2021-06","Gas",false,3.41,13.78,34.47,0.12,3.65,-1.44,1.21,15.67,12.29,158.39
"Viet Nam","VNM",false,"2021-06","Hydro",false,6.45,26.07,65.19,0.62,10.63,-0.9,6.27,30.46,23.89,307.88
"Viet Nam","VNM",false,"2021-06","Other fossil",false,0,0,0,0,,0,0,0,0,0
"Viet Nam","VNM",false,"2021-06","Solar",false,2.11,8.53,21.33,1.36,181.33,5.06,13.75,13.59,10.66,137.36
"Viet Nam","VNM",false,"2021-06","Total generation",true,24.74,100,250.06,3.12,14.43,0,31.54,127.49,100,1288.62
"Viet Nam","VNM",false,"2021-06","Wind",false,0.23,0.93,2.32,0.16,228.57,0.61,1.62,1.1,0.86,11.12
"Viet Nam","VNM",false,"2021-07","Coal",false,10.19,44.81,103,-0.91,-8.2,-3.77,-9.2,76.86,51.16,776.87
"Viet Nam","VNM",false,"2021-07","Gas",false,2.29,10.07,23.15,-0.87,-27.53,-3.76,-8.79,17.96,11.96,181.53
"Viet Nam","VNM",false,"2021-07","Hydro",false,7.83,34.43,79.14,0.16,2.09,0.86,1.62,38.29,25.49,387.02
"Viet Nam","VNM",false,"2021-07","Other fossil",false,0,0,0,0,,0,0,0,0,0
"Viet Nam","VNM",false,"2021-07","Solar",false,2.29,10.07,23.15,1.44,169.41,6.35,14.55,15.88,10.57,160.51
"Viet Nam","VNM",false,"2021-07","Total generation",true,22.74,100,229.85,-0.11,-0.48,0,-1.11,150.23,100,1518.47
