Date;Country;Region;Export;Import
04/2025;Bra-xin;Others;209,223.95;365,463.61
05/2025;Bra-xin;Others;241,100.49;334,109.80
06/2025;Bra-xin;Others;190,485.27;321,093.55
07/2025;Bra-xin;Others;232,428.31;384,124.91
08/2025;Bra-xin;Others;239,575.63;405,106.34
09/2025;Bra-xin;Others;222,301.71;417,504.01
10/2025;Bra-xin;Others;227,127.21;443,999.95
11/2025;Bra-xin;Others;257,711.42;381,055.20
01/2019;Bru-nây;ASEAN;2,737.54;38,165.02
02/2019;Bru-nây;ASEAN;1,084.53;1,040.18
03/2019;Bru-nây;ASEAN;4,449.98;5,287.85
04/2019;Bru-nây;ASEAN;4,757.44;2,107.68
05/2019;Bru-nây;ASEAN;5,001.21;30,353.96
06/2019;Bru-nây;ASEAN;5,771.03;3,592.15
07/2019;Bru-nây;ASEAN;10,292.85;55.01
08/2019;Bru-nây;ASEAN;6,480.74;37,941.93
09/2019;Bru-nây;ASEAN;7,302.86;8,470.40
10/2019;Bru-nây;ASEAN;6,028.51;1,038.24
11/2019;Bru-nây;ASEAN;6,643.88;39,298.69
12/2019;Bru-nây;ASEAN;6,093.73;10,020.88
01/2020;Bru-nây;ASEAN;4,214.46;51,864.20
02/2020;Bru-nây;ASEAN;1,668.86;33,386.27
03/2020;Bru-nây;ASEAN;2,494.92;35,152.58
04/2020;Bru-nây;ASEAN;1,051.95;9,505.29
05/2020;Bru-nây;ASEAN;1,214.28;26,004.47
06/2020;Bru-nây;ASEAN;793.89;13,207.14
07/2020;Bru-nây;ASEAN;801.43;23,996.84
08/2020;Bru-nây;ASEAN;668.89;13,472.89
09/2020;Bru-nây;ASEAN;588.81;12,240.20
10/2020;Bru-nây;ASEAN;787.05;8,620.60
11/2020;Bru-nây;ASEAN;1,595.87;10,840.60
12/2020;Bru-nây;ASEAN;753.39;27,262.39
01/2021;Bru-nây;ASEAN;913.97;10,665.20
02/2021;Bru-nây;ASEAN;533.09;15,607.43
03/2021;Bru-nây;ASEAN;1,447.69;30,860.81
04/2021;Bru-nây;ASEAN;652.60;27,084.73
05/2021;Bru-nây;ASEAN;709.28;14,403.66
06/2021;Bru-nây;ASEAN;713.00;12,800.53
07/2021;Bru-nây;ASEAN;1,463.17;45,333.05
08/2021;Bru-nây;ASEAN;1,629.76;45,977.69
09/2021;Bru-nây;ASEAN;710.76;15,565.80
10/2021;Bru-nây;ASEAN;24,715.43;12,425.24
11/2021;Bru-nây;ASEAN;611.87;8,914.60
12/2021;Bru-nây;ASEAN;807.20;35,516.67
01/2022;Bru-nây;ASEAN;907.52;58,759.15
02/2022;Bru-nây;ASEAN;432.58;49,126.41
03/2022;Bru-nây;ASEAN;1,072.44;131,576.63
04/2022;Bru-nây;ASEAN;1,098.39;85,495.44
05/2022;Bru-nây;ASEAN;1,701.01;83,552.61
06/2022;Bru-nây;ASEAN;835.06;43,776.10
07/2022;Bru-nây;ASEAN;42,994.25;86,648.56
08/2022;Bru-nây;ASEAN;2,006.60;21,552.20
09/2022;Bru-nây;ASEAN;1,421.54;10,232.95
10/2022;Bru-nây;ASEAN;1,228.07;14,114.90
11/2022;Bru-nây;ASEAN;4,343.04;24,699.04
12/2022;Bru-nây;ASEAN;34,217.94;23,943.16
01/2023;Bru-nây;ASEAN;4,716.30;10,638.33
02/2023;Bru-nây;ASEAN;10,875.64;16,743.55
03/2023;Bru-nây;ASEAN;3,642.97;13,164.18
04/2023;Bru-nây;ASEAN;1,837.74;6,997.39
05/2023;Bru-nây;ASEAN;2,000.44;10,235.01
06/2023;Bru-nây;ASEAN;2,108.11;10,510.31
07/2023;Bru-nây;ASEAN;4,106.87;10,162.74
